16	176	100	8800	378	300	13700
32	327	300	1600	771	600	1000
128	1247	1100	4800	3936	3500	23100
512	7648	7100	45100	19504	18500	48200
1024	25326	24300	61800	42555	40600	69800
2048	67035	64700	85400	93129	88800	141300
4096	173748	168700	454400	203634	194500	519300
8192	368150	362000	509400	439948	426100	1047500
16384	803571	794400	1031100	940989	907900	1076200
